CP, 82, 2008080100, 03, OFCI,  36, 202N, 1528W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  48, 205N, 1541W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  60, 209N, 1553W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  72, 213N, 1566W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, OFCI,  84, 217N, 1580W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008080100, 03, OFCI,  96, 222N, 1594W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008080100, 03, OFCI, 108, 226N, 1608W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008080100, 03, OFCI, 120, 231N, 1621W,  35,    0,   ,  34, NEQ,    0,    0,    0,    0,
CP, 82, 2008080100, 03, SHF5,   0,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  12,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  24,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  36,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  48,   0N,    0W,  37,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  60,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  72,   0N,    0W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  84,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5,  96,   0N,    0W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5, 108,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHF5, 120,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  12,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  24,   0N,    0W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  36,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  48,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  60,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, SHFR,  72,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,   0, 196N, 1490W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  12, 198N, 1501W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  24, 200N, 1513W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  36, 202N, 1525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  48, 204N, 1537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  60, 206N, 1549W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  72, 208N, 1561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  84, 210N, 1573W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP,  96, 212N, 1586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP, 108, 214N, 1598W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 82, 2008080100, 03, XTRP, 120, 216N, 1610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
