CP, 84, 2012060500, 03, BAMS, 156, 479N, 1351W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, BAMS, 168, 490N, 1306W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  12, 211N, 1506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  24, 211N, 1510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  36, 207N, 1516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  48, 202N, 1522W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  60, 197N, 1515W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLIP,  72, 182N, 1515W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  12, 211N, 1508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  24, 212N, 1517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  36, 214N, 1528W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  48, 218N, 1537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  60, 221N, 1553W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  72, 226N, 1566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  84, 230N, 1575W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5,  96, 234N, 1583W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5, 108, 239N, 1595W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, CLP5, 120, 242N, 1607W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DRCL,   0, 211N, 1501W, 105,    0, HU,  34, NEQ,  145,  130,  130,  145, 
CP, 84, 2012060500, 03, DRCL,   0, 211N, 1501W, 105,    0, HU,  50, NEQ,   90,   80,   80,   90, 
CP, 84, 2012060500, 03, DRCL,   0, 211N, 1501W, 105,    0, HU,  64, NEQ,   30,   25,   25,   30, 
CP, 84, 2012060500, 03, DRCL,  12, 211N, 1506W, 110,    0, HU,  34, NEQ,  137,  124,  125,  138, 
CP, 84, 2012060500, 03, DRCL,  12, 211N, 1506W, 110,    0, HU,  50, NEQ,   86,   77,   78,   86, 
CP, 84, 2012060500, 03, DRCL,  12, 211N, 1506W, 110,    0, HU,  64, NEQ,   35,   31,   31,   35, 
CP, 84, 2012060500, 03, DRCL,  24, 211N, 1511W, 115,    0, HU,  34, NEQ,  134,  122,  123,  136, 
CP, 84, 2012060500, 03, DRCL,  24, 211N, 1511W, 115,    0, HU,  50, NEQ,   83,   76,   77,   84, 
CP, 84, 2012060500, 03, DRCL,  24, 211N, 1511W, 115,    0, HU,  64, NEQ,   41,   37,   37,   41, 
