EP, 17, 2014091612, 03, NG04, 090, 224N, 1112W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 096, 229N, 1118W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 102, 236N, 1123W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 108, 242N, 1125W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 114, 247N, 1129W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 120, 252N, 1133W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 126, 259N, 1138W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 132, 267N, 1141W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 138, 272N, 1144W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 144, 278N, 1150W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 150, 285N, 1155W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 156, 294N, 1164W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 162, 300N, 1174W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 168, 302N, 1185W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 174, 301N, 1192W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG04, 180, 300N, 1198W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 000, 120N,  971W,  28, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 006, 129N,  981W,  26, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 012, 136N,  990W,  24, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 018, 143N,  996W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 024, 156N, 1003W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 030, 171N, 1011W,  16, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG05, 036, 188N, 1017W,  13, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG06, 000, 110N,  990W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG06, 006, 108N,  998W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG06, 012, 110N, 1005W,  20, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG06, 018, 115N, 1008W,  19, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 000, 123N,  970W,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 006, 130N,  979W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 012, 136N,  987W,  26, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 018, 147N,  995W,  22, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 024, 155N, 1005W,  25, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 030, 178N, 1012W,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 036, 180N, 1026W,  18, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG07, 042, 187N, 1041W,  15, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG08, 000, 119N,  980W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG08, 006, 120N,  989W,  17, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG08, 012, 129N,  992W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 17, 2014091612, 03, NG08, 018, 135N,  993W,  19, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
