IO, 01, 2021051400, 01, CARQ,   0, 109N,  724E,  30,  997, TD,  34, NEQ,    0,    0,    0,    0,  999,   65,  40,   0,   0,   A,   0,   X,  50,   6,     INVEST, S, 
IO, 01, 2021051400, 01, CARQ,   0, 109N,  724E,  30,  997, TD,  50, NEQ,    0,    0,    0,    0,  999,   65,  40,   0,   0,   A,   0,   X,  50,   6,     INVEST, S, 
IO, 01, 2021051400, 01, CARQ,   0, 109N,  724E,  30,  997, TD,  64, NEQ,    0,    0,    0,    0,  999,   65,  40,   0,   0,   A,   0,   X,  50,   6,     INVEST, S, 
IO, 01, 2021051406, 01, CARQ, -24,  97N,  710E,  25,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051406, 01, CARQ, -18, 101N,  714E,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051406, 01, CARQ, -12, 106N,  716E,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,  26,   6,     INVEST,  , 
IO, 01, 2021051406, 01, CARQ,  -6, 111N,  719E,  30,    0, TS,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   A,   0,   X,   0,   0,     INVEST,  , 
IO, 01, 2021051406, 01, CARQ,   0, 116N,  721E,  35,  998, TS,  34, NEQ,   60,   90,   90,   60, 1004,  190,  45,   0,   0,   A,   0,   X,  25,   6,     INVEST, S, 
IO, 01, 2021051406, 01, CARQ,   0, 116N,  721E,  35,  998, TS,  50, NEQ,    0,    0,    0,    0, 1004,  190,  45,   0,   0,   A,   0,   X,  25,   6,     INVEST, S, 
IO, 01, 2021051406, 01, CARQ,   0, 116N,  721E,  35,  998, TS,  64, NEQ,    0,    0,    0,    0, 1004,  190,  45,   0,   0,   A,   0,   X,  25,   6,     INVEST, S, 
IO, 01, 2021051406, 03, NVGM, 000, 111N,  729E,  36,  999, XX,  34, NEQ, 0081, 0248, 0231, 0000,    0,    0, 070
IO, 01, 2021051406, 03, NVGM, 006, 112N,  727E,  42,  993, XX,  34, NEQ, 0122, 0215, 0234, 0059,    0,    0, 072
IO, 01, 2021051406, 03, NVGM, 012, 113N,  732E,  51,  993, XX,  34, NEQ, 0140, 0260, 0080, 0061,    0,    0, 067
IO, 01, 2021051406, 03, NVGM, 012, 113N,  732E,  51,  993, XX,  50, NEQ, 0000, 0069, 0000, 0000,    0,    0, 067
IO, 01, 2021051406, 03, NVGM, 018, 121N,  735E,  52,  988, XX,  34, NEQ, 0080, 0162, 0174, 0034,    0,    0, 067
IO, 01, 2021051406, 03, NVGM, 018, 121N,  735E,  52,  988, XX,  50, NEQ, 0000, 0073, 0066, 0000,    0,    0, 067
IO, 01, 2021051406, 03, NVGM, 024, 130N,  733E,  61,  987, XX,  34, NEQ, 0065, 0155, 0165, 0034,    0,    0, 054
IO, 01, 2021051406, 03, NVGM, 024, 130N,  733E,  61,  987, XX,  50, NEQ, 0081, 0078, 0074, 0000,    0,    0, 054
IO, 01, 2021051406, 03, NVGM, 030, 138N,  728E,  61,  984, XX,  34, NEQ, 0101, 0128, 0215, 0137,    0,    0, 049
IO, 01, 2021051406, 03, NVGM, 030, 138N,  728E,  61,  984, XX,  50, NEQ, 0075, 0065, 0086, 0038,    0,    0, 049
