EP, 10, 2014080412, 03, NG04, 126, 179N, 1480W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 132, 186N, 1496W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 138, 193N, 1512W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 144, 202N, 1530W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 150, 212N, 1549W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 156, 224N, 1566W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 162, 237N, 1582W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 168, 248N, 1598W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 174, 260N, 1612W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG04, 180, 271N, 1626W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 090, 137N, 1388W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 096, 138N, 1400W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 102, 139N, 1411W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 108, 145N, 1420W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 114, 146N, 1435W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 120, 155N, 1447W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 126, 162N, 1459W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 132, 168N, 1472W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 138, 179N, 1483W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 144, 187N, 1495W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 150, 199N, 1501W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 156, 210N, 1509W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 162, 223N, 1517W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 168, 235N, 1525W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 174, 246N, 1533W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG05, 180, 256N, 1542W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG06, 090, 145N, 1421W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG06, 096, 145N, 1437W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG06, 102, 150N, 1450W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG06, 108, 151N, 1464W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 10, 2014080412, 03, NG06, 114, 152N, 1479W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
