SH, 91, 2013011900, 03, NG03, 006, 126S, 1765E,  26, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 012, 130S, 1776E,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 018, 131S, 1785E,  15, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 024, 130S, 1800E,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 030, 136S, 1788W,  20, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 036, 132S, 1772W,  18, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 042, 129S, 1762W,  16, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 048, 125S, 1751W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 054, 118S, 1743W,  19, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 060, 121S, 1733W,  18, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 066, 121S, 1729W,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 072, 120S, 1721W,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 078, 121S, 1722W,  16, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 084, 120S, 1719W,  16, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 090, 121S, 1720W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 096, 123S, 1719W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 102, 126S, 1721W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 108, 130S, 1720W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 114, 136S, 1720W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 120, 139S, 1714W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
