CP, 91, 2009072006, 03, CLP5,  24,  93N, 1657W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  36,  96N, 1681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  48,  99N, 1709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  60, 102N, 1733W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  72, 107N, 1757W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  84, 115N, 1787W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5,  96, 121N, 1784E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5, 108, 126N, 1762E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, CLP5, 120, 132N, 1738E,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, GFDN,   0,  88N, 1608W,  26, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, GFDN,   6,  96N, 1617W,  40, 1005,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, GFDN,  12, 100N, 1642W,  35, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, GFDN,  18,  98N, 1658W,  35, 1007,   ,   0,    ,    0,    0,    0,    0, 
CP, 91, 2009072006, 03, GFDN,  24, 106N, 1675W,  34, 1007,   ,   0,    ,    0,    0,    0,    0, 
