IO, 91, 2023050912, 03, CTCX, 078, 166N,  905E, 125,  926, XX,  34, NEQ, 0223, 0239, 0234, 0188,    0,    0, 011
IO, 91, 2023050912, 03, CTCX, 078, 166N,  905E, 125,  926, XX,  50, NEQ, 0081, 0091, 0076, 0077,    0,    0, 011
IO, 91, 2023050912, 03, CTCX, 078, 166N,  905E, 125,  926, XX,  64, NEQ, 0013, 0038, 0044, 0032,    0,    0, 011
IO, 91, 2023050912, 03, CTCX, 084, 177N,  911E,  92,  937, XX,  34, NEQ, 0176, 0270, 0270, 0185,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 084, 177N,  911E,  92,  937, XX,  50, NEQ, 0117, 0125, 0085, 0094,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 084, 177N,  911E,  92,  937, XX,  64, NEQ, 0028, 0035, 0046, 0015,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 090, 188N,  916E,  88,  955, XX,  34, NEQ, 0139, 0264, 0250, 0150,    0,    0, 047
IO, 91, 2023050912, 03, CTCX, 090, 188N,  916E,  88,  955, XX,  50, NEQ, 0108, 0083, 0080, 0089,    0,    0, 047
IO, 91, 2023050912, 03, CTCX, 090, 188N,  916E,  88,  955, XX,  64, NEQ, 0051, 0060, 0068, 0020,    0,    0, 047
IO, 91, 2023050912, 03, CTCX, 096, 202N,  922E, 101,  947, XX,  34, NEQ, 0059, 0207, 0193, 0123,    0,    0, 023
IO, 91, 2023050912, 03, CTCX, 096, 202N,  922E, 101,  947, XX,  50, NEQ, 0044, 0078, 0063, 0061,    0,    0, 023
IO, 91, 2023050912, 03, CTCX, 096, 202N,  922E, 101,  947, XX,  64, NEQ, 0040, 0043, 0041, 0030,    0,    0, 023
IO, 91, 2023050912, 03, CTCX, 102, 215N,  933E,  39,  980, XX,  34, NEQ, 0000, 0116, 0220, 0000,    0,    0, 013
IO, 91, 2023050912, 03, CTCX, 108, 229N,  950E,  31,  988, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 040
IO, 91, 2023050912, 03, CTCX, 114, 249N,  959E,  23,  994, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
IO, 91, 2023050912, 03, CTCX, 120, 265N,  969E,  26,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 107
IO, 91, 2023050918, 01, CARQ, -18, 072N, 0894E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   B,   0,   X, 275,  11,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 01, CARQ, -12, 082N, 0896E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  90,   0,   0,   B,   0,   X, 295,   8,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 01, CARQ,  -6, 083N, 0883E,  30, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  195,  90,   0,   0,   B,   0,   X, 285,   9,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 01, CARQ,   0, 078N, 0890E,  25, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1004,  195, 120,   0,   0,   B,   0,   X, 275,   4,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 01, CARQ,   0, 078N, 0890E,  25, 1001, XX,  50, NEQ,    0,    0,    0,    0, 1004,  195, 120,   0,   0,   B,   0,   X, 275,   4,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 01, CARQ,   0, 078N, 0890E,  25, 1001, XX,  64, NEQ,    0,    0,    0,    0, 1004,  195, 120,   0,   0,   B,   0,   X, 275,   4,     INVEST, S,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, IO912023, JTWC, NCEP_TCVITALS, 
IO, 91, 2023050918, 03, CTCX, 000,  78N,  900E,  33, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 042
IO, 91, 2023050918, 03, CTCX, 006,  90N,  910E,  38, 1002, XX,  34, NEQ, 0000, 0070, 0217, 0328,    0,    0, 066
IO, 91, 2023050918, 03, CTCX, 012,  98N,  902E,  48, 1001, XX,  34, NEQ, 0104, 0188, 0173, 0000,    0,    0, 074
IO, 91, 2023050918, 03, CTCX, 018, 105N,  895E,  42,  995, XX,  34, NEQ, 0140, 0198, 0170, 0115,    0,    0, 106
IO, 91, 2023050918, 03, CTCX, 024, 114N,  894E,  44,  996, XX,  34, NEQ, 0232, 0243, 0176, 0173,    0,    0, 074
IO, 91, 2023050918, 03, CTCX, 030, 121N,  892E,  52,  989, XX,  34, NEQ, 0201, 0188, 0188, 0170,    0,    0, 023
IO, 91, 2023050918, 03, CTCX, 030, 121N,  892E,  52,  989, XX,  50, NEQ, 0024, 0000, 0000, 0000,    0,    0, 023
IO, 91, 2023050918, 03, CTCX, 036, 129N,  891E,  67,  984, XX,  34, NEQ, 0197, 0210, 0162, 0168,    0,    0, 026
IO, 91, 2023050918, 03, CTCX, 036, 129N,  891E,  67,  984, XX,  50, NEQ, 0060, 0037, 0068, 0058,    0,    0, 026
IO, 91, 2023050918, 03, CTCX, 036, 129N,  891E,  67,  984, XX,  64, NEQ, 0000, 0000, 0000, 0028,    0,    0, 026
IO, 91, 2023050918, 03, CTCX, 042, 136N,  891E,  70,  969, XX,  34, NEQ, 0179, 0214, 0184, 0174,    0,    0, 024
IO, 91, 2023050918, 03, CTCX, 042, 136N,  891E,  70,  969, XX,  50, NEQ, 0129, 0051, 0056, 0073,    0,    0, 024
IO, 91, 2023050918, 03, CTCX, 042, 136N,  891E,  70,  969, XX,  64, NEQ, 0031, 0025, 0000, 0029,    0,    0, 024
IO, 91, 2023050918, 03, CTCX, 048, 141N,  891E, 100,  960, XX,  34, NEQ, 0214, 0219, 0172, 0146,    0,    0, 019
IO, 91, 2023050918, 03, CTCX, 048, 141N,  891E, 100,  960, XX,  50, NEQ, 0074, 0086, 0062, 0083,    0,    0, 019
IO, 91, 2023050918, 03, CTCX, 048, 141N,  891E, 100,  960, XX,  64, NEQ, 0037, 0034, 0034, 0043,    0,    0, 019
IO, 91, 2023050918, 03, CTCX, 054, 143N,  893E, 112,  951, XX,  34, NEQ, 0220, 0214, 0204, 0171,    0,    0, 013
