EP, 97, 2014080212, 03, NG06, 126, 150N, 1363W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 132, 153N, 1375W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 138, 155N, 1386W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 144, 161N, 1399W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 150, 163N, 1415W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 156, 171N, 1428W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 162, 179N, 1440W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 168, 186N, 1456W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 174, 196N, 1470W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG06, 180, 205N, 1485W,   0, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 090, 152N, 1299W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 096, 157N, 1314W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 102, 160N, 1330W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 108, 168N, 1343W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 114, 179N, 1354W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 120, 191N, 1366W,   0, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 126, 202N, 1378W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 132, 216N, 1391W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 138, 227N, 1405W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 144, 233N, 1419W,   0, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 150, 240N, 1431W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 156, 243N, 1443W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 162, 248N, 1452W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 168, 252N, 1461W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 174, 259N, 1467W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG07, 180, 266N, 1473W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
EP, 97, 2014080212, 03, NG08, 090, 135N, 1278W,   0, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
