IO, 01, 2020051612, 03, NVGM, 042, 146N,  872E, 102,  958, XX,  50, NEQ, 0172, 0075, 0050, 0145,    0,    0, 019
IO, 01, 2020051612, 03, NVGM, 042, 146N,  872E, 102,  958, XX,  64, NEQ, 0114, 0080, 0050, 0106,    0,    0, 019
IO, 01, 2020051612, 03, NVGM, 048, 154N,  874E, 123,  952, XX,  34, NEQ, 0257, 0065, 0140, 0130,    0,    0, 023
IO, 01, 2020051612, 03, NVGM, 048, 154N,  874E, 123,  952, XX,  50, NEQ, 0154, 0065, 0151, 0130,    0,    0, 023
IO, 01, 2020051612, 03, NVGM, 048, 154N,  874E, 123,  952, XX,  64, NEQ, 0067, 0065, 0097, 0113,    0,    0, 023
IO, 01, 2020051612, 03, NVGM, 054, 162N,  878E, 124,  950, XX,  34, NEQ, 0060, 0070, 0115, 0192,    0,    0, 018
IO, 01, 2020051612, 03, NVGM, 054, 162N,  878E, 124,  950, XX,  50, NEQ, 0060, 0070, 0115, 0135,    0,    0, 018
IO, 01, 2020051612, 03, NVGM, 054, 162N,  878E, 124,  950, XX,  64, NEQ, 0060, 0070, 0081, 0106,    0,    0, 018
IO, 01, 2020051612, 03, NVGM, 060, 174N,  884E, 142,  943, XX,  34, NEQ, 0237, 0230, 0180, 0135,    0,    0, 025
IO, 01, 2020051612, 03, NVGM, 060, 174N,  884E, 142,  943, XX,  50, NEQ, 0178, 0197, 0156, 0158,    0,    0, 025
IO, 01, 2020051612, 03, NVGM, 060, 174N,  884E, 142,  943, XX,  64, NEQ, 0102, 0147, 0095, 0128,    0,    0, 025
IO, 01, 2020051612, 03, NVGM, 066, 187N,  889E, 149,  940, XX,  34, NEQ, 0165, 0165, 0170, 0181,    0,    0, 016
IO, 01, 2020051612, 03, NVGM, 066, 187N,  889E, 149,  940, XX,  50, NEQ, 0196, 0197, 0160, 0135,    0,    0, 016
IO, 01, 2020051612, 03, NVGM, 066, 187N,  889E, 149,  940, XX,  64, NEQ, 0108, 0130, 0090, 0104,    0,    0, 016
IO, 01, 2020051612, 03, NVGM, 072, 203N,  895E, 140,  934, XX,  34, NEQ, 0184, 0205, 0256, 0193,    0,    0, 017
IO, 01, 2020051612, 03, NVGM, 072, 203N,  895E, 140,  934, XX,  50, NEQ, 0149, 0199, 0160, 0162,    0,    0, 017
IO, 01, 2020051612, 03, NVGM, 072, 203N,  895E, 140,  934, XX,  64, NEQ, 0116, 0122, 0104, 0135,    0,    0, 017
IO, 01, 2020051612, 03, NVGM, 078, 220N,  899E, 123,  941, XX,  34, NEQ, 0125, 0281, 0135, 0128,    0,    0, 028
IO, 01, 2020051612, 03, NVGM, 078, 220N,  899E, 123,  941, XX,  50, NEQ, 0116, 0166, 0138, 0148,    0,    0, 028
IO, 01, 2020051612, 03, NVGM, 078, 220N,  899E, 123,  941, XX,  64, NEQ, 0091, 0092, 0092, 0115,    0,    0, 028
IO, 01, 2020051612, 03, NVGM, 084, 237N,  901E,  59,  956, XX,  34, NEQ, 0081, 0257, 0143, 0071,    0,    0, 112
IO, 01, 2020051612, 03, NVGM, 084, 237N,  901E,  59,  956, XX,  50, NEQ, 0000, 0147, 0000, 0000,    0,    0, 112
IO, 01, 2020051612, 03, NVGM, 090, 251N,  905E,  29,  979, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 038
IO, 01, 2020051612, 03, NVGM, 096, 264N,  915E,  20,  992, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 006
IO, 01, 2020051612, 03, NVGM, 102, 273N,  932E,   9, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 077
IO, 01, 2020051612, 03, NVGM, 108, 277N,  940E,   5, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 069
IO, 01, 2020051618, 03, COTC, 000, 108N,  863E,  45,  992, XX,  34, NEQ, 0116, 0130, 0122, 0086,    0,    0, 040
IO, 01, 2020051618, 03, COTC, 006, 115N,  866E,  55,  988, XX,  34, NEQ, 0127, 0233, 0150, 0130,    0,    0, 080
IO, 01, 2020051618, 03, COTC, 006, 115N,  866E,  55,  988, XX,  50, NEQ, 0083, 0000, 0000, 0066,    0,    0, 080
IO, 01, 2020051618, 03, COTC, 012, 118N,  862E,  70,  983, XX,  34, NEQ, 0197, 0272, 0192, 0149,    0,    0, 042
IO, 01, 2020051618, 03, COTC, 012, 118N,  862E,  70,  983, XX,  50, NEQ, 0125, 0137, 0053, 0077,    0,    0, 042
IO, 01, 2020051618, 03, COTC, 012, 118N,  862E,  70,  983, XX,  64, NEQ, 0000, 0000, 0000, 0051,    0,    0, 042
IO, 01, 2020051618, 03, COTC, 018, 121N,  862E,  57,  978, XX,  34, NEQ, 0264, 0211, 0220, 0192,    0,    0, 097
IO, 01, 2020051618, 03, COTC, 018, 121N,  862E,  57,  978, XX,  50, NEQ, 0099, 0042, 0034, 0065,    0,    0, 097
IO, 01, 2020051618, 03, COTC, 024, 125N,  862E,  59,  979, XX,  34, NEQ, 0246, 0259, 0249, 0186,    0,    0, 032
IO, 01, 2020051618, 03, COTC, 024, 125N,  862E,  59,  979, XX,  50, NEQ, 0037, 0065, 0041, 0090,    0,    0, 032
IO, 01, 2020051618, 03, COTC, 030, 127N,  866E,  86,  969, XX,  34, NEQ, 0245, 0282, 0279, 0212,    0,    0, 031
