WP, 96, 2013012618, 01, CARQ,  -6, 126N, 1264E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ,   0, 103N, 1291E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ,   0, 103N, 1291E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012618, 01, CARQ,   0, 103N, 1291E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ, -24, 073N, 1272E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 210,   7,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ, -18, 108N, 1289E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ, -12, 126N, 1264E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ,  -6, 103N, 1291E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ,   0, 068N, 1278E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ,   0, 068N, 1278E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012700, 01, CARQ,   0, 068N, 1278E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ, -24, 108N, 1289E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X,  23,  12,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ, -18, 126N, 1264E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ, -12, 103N, 1291E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ,  -6, 068N, 1278E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ,   0, 112N, 1265E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 289,  14,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ,   0, 112N, 1265E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 289,  14,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012706, 01, CARQ,   0, 112N, 1265E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 289,  14,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ, -24, 126N, 1264E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 352,  27,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ, -18, 103N, 1291E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ, -12, 068N, 1278E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ,  -6, 112N, 1265E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 289,  14,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ,   0, 112N, 1271E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 351,  22,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ,   0, 112N, 1271E,  15, 1010, XX,  50, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 351,  22,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012712, 01, CARQ,   0, 112N, 1271E,  15, 1010, XX,  64, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 351,  22,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012718, 01, CARQ, -24, 103N, 1291E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 159,   3,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012718, 01, CARQ, -18, 068N, 1278E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 167,  30,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012718, 01, CARQ, -12, 112N, 1265E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 289,  14,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012718, 01, CARQ,  -6, 112N, 1271E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 351,  22,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
WP, 96, 2013012718, 01, CARQ,   0, 080N, 1275E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   W,   0,   X, 163,  17,     INVEST,  ,   ,    ,    ,    ,    ,    ,      TCGP EXTRA DATA, WP962012, JTWC, MT2C_TCVITALS, 
