IO, 91, 2020051500, 03, NG05, 096, 143N,  889E,  76,  961, XX,  50, NEQ, 0130, 0177, 0167, 0090,    0,    0, 067
IO, 91, 2020051500, 03, NG05, 096, 143N,  889E,  76,  961, XX,  64, NEQ, 0085, 0106, 0000, 0000,    0,    0, 067
IO, 91, 2020051500, 03, NG05, 102, 158N,  886E,  75,  960, XX,  34, NEQ, 0235, 0195, 0230, 0193,    0,    0, 055
IO, 91, 2020051500, 03, NG05, 102, 158N,  886E,  75,  960, XX,  50, NEQ, 0126, 0185, 0146, 0021,    0,    0, 055
IO, 91, 2020051500, 03, NG05, 102, 158N,  886E,  75,  960, XX,  64, NEQ, 0079, 0100, 0000, 0034,    0,    0, 055
IO, 91, 2020051500, 03, NG05, 108, 170N,  881E,  79,  957, XX,  34, NEQ, 0125, 0100, 0189, 0135,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 108, 170N,  881E,  79,  957, XX,  50, NEQ, 0157, 0125, 0122, 0023,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 108, 170N,  881E,  79,  957, XX,  64, NEQ, 0107, 0121, 0077, 0030,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 114, 182N,  878E,  77,  955, XX,  34, NEQ, 0190, 0160, 0075, 0135,    0,    0, 045
IO, 91, 2020051500, 03, NG05, 114, 182N,  878E,  77,  955, XX,  50, NEQ, 0173, 0160, 0075, 0033,    0,    0, 045
IO, 91, 2020051500, 03, NG05, 114, 182N,  878E,  77,  955, XX,  64, NEQ, 0051, 0122, 0075, 0048,    0,    0, 045
IO, 91, 2020051500, 03, NG05, 120, 197N,  878E,  78,  954, XX,  34, NEQ, 0216, 0190, 0175, 0105,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 120, 197N,  878E,  78,  954, XX,  50, NEQ, 0200, 0159, 0132, 0091,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 120, 197N,  878E,  78,  954, XX,  64, NEQ, 0113, 0110, 0099, 0040,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 126, 213N,  878E,  75,  960, XX,  34, NEQ, 0158, 0244, 0173, 0120,    0,    0, 046
IO, 91, 2020051500, 03, NG05, 126, 213N,  878E,  75,  960, XX,  50, NEQ, 0183, 0163, 0115, 0026,    0,    0, 046
IO, 91, 2020051500, 03, NG05, 126, 213N,  878E,  75,  960, XX,  64, NEQ, 0107, 0118, 0000, 0000,    0,    0, 046
IO, 91, 2020051500, 03, NG05, 132, 230N,  877E,  49,  969, XX,  34, NEQ, 0105, 0176, 0132, 0085,    0,    0, 158
IO, 91, 2020051500, 03, NG05, 138, 241N,  875E,  33,  981, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 076
IO, 91, 2020051500, 03, NG05, 144, 246N,  875E,  27,  989, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
IO, 91, 2020051500, 03, NG05, 150, 247N,  880E,  22,  996, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 108
IO, 91, 2020051500, 03, NG05, 156, 249N,  883E,  18,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 074
IO, 91, 2020051500, 03, NG05, 162, 251N,  885E,  18, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 091
IO, 91, 2020051500, 03, NG05, 168, 250N,  890E,  15, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 082
IO, 91, 2020051500, 03, NG05, 174, 252N,  901E,  15, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 043
IO, 91, 2020051500, 03, NG05, 180, 255N,  912E,  11, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 091
IO, 91, 2020051500, 03, NG06, 000,  87N,  886E,  32, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 048
IO, 91, 2020051500, 03, NG06, 006,  70N,  894E,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 161
IO, 91, 2020051500, 03, NG06, 012,  64N,  896E,  32, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000,    0,    0, 158
IO, 91, 2020051500, 03, NG06, 018,  71N,  909E,  41, 1000, XX,  34, NEQ, 0000, 0159, 0157, 0000,    0,    0, 125
IO, 91, 2020051500, 03, NG06, 024,  83N,  916E,  44,  999, XX,  34, NEQ, 0118, 0121, 0000, 0000,    0,    0, 094
IO, 91, 2020051500, 03, NG06, 030,  98N,  916E,  45,  998, XX,  34, NEQ, 0109, 0030, 0199, 0091,    0,    0, 083
IO, 91, 2020051500, 03, NG06, 036, 109N,  912E,  47,  995, XX,  34, NEQ, 0143, 0171, 0000, 0049,    0,    0, 053
IO, 91, 2020051500, 03, NG06, 042, 117N,  902E,  50,  995, XX,  34, NEQ, 0114, 0150, 0000, 0046,    0,    0, 048
IO, 91, 2020051500, 03, NG06, 048, 119N,  896E,  58,  988, XX,  34, NEQ, 0164, 0244, 0087, 0024,    0,    0, 039
IO, 91, 2020051500, 03, NG06, 048, 119N,  896E,  58,  988, XX,  50, NEQ, 0078, 0000, 0034, 0033,    0,    0, 039
IO, 91, 2020051500, 03, NG06, 054, 116N,  892E,  60,  984, XX,  34, NEQ, 0167, 0025, 0173, 0091,    0,    0, 044
IO, 91, 2020051500, 03, NG06, 054, 116N,  892E,  60,  984, XX,  50, NEQ, 0078, 0066, 0076, 0038,    0,    0, 044
IO, 91, 2020051500, 03, NG06, 060, 116N,  890E,  62,  978, XX,  34, NEQ, 0155, 0075, 0225, 0025,    0,    0, 038
IO, 91, 2020051500, 03, NG06, 060, 116N,  890E,  62,  978, XX,  50, NEQ, 0059, 0075, 0088, 0025,    0,    0, 038
IO, 91, 2020051500, 03, NG06, 066, 122N,  892E,  65,  976, XX,  34, NEQ, 0080, 0070, 0070, 0105,    0,    0, 049
IO, 91, 2020051500, 03, NG06, 066, 122N,  892E,  65,  976, XX,  50, NEQ, 0080, 0115, 0070, 0048,    0,    0, 049
IO, 91, 2020051500, 03, NG06, 066, 122N,  892E,  65,  976, XX,  64, NEQ, 0052, 0052, 0000, 0000,    0,    0, 049
IO, 91, 2020051500, 03, NG06, 072, 132N,  894E,  67,  967, XX,  34, NEQ, 0170, 0135, 0110, 0175,    0,    0, 044
IO, 91, 2020051500, 03, NG06, 072, 132N,  894E,  67,  967, XX,  50, NEQ, 0159, 0135, 0110, 0098,    0,    0, 044
IO, 91, 2020051500, 03, NG06, 072, 132N,  894E,  67,  967, XX,  64, NEQ, 0106, 0049, 0000, 0000,    0,    0, 044
IO, 91, 2020051500, 03, NG06, 078, 145N,  890E,  73,  962, XX,  34, NEQ, 0155, 0210, 0252, 0190,    0,    0, 031
IO, 91, 2020051500, 03, NG06, 078, 145N,  890E,  73,  962, XX,  50, NEQ, 0095, 0203, 0190, 0101,    0,    0, 031
IO, 91, 2020051500, 03, NG06, 078, 145N,  890E,  73,  962, XX,  64, NEQ, 0063, 0119, 0000, 0000,    0,    0, 031
IO, 91, 2020051500, 03, NG06, 084, 154N,  883E,  75,  955, XX,  34, NEQ, 0105, 0270, 0277, 0209,    0,    0, 046
IO, 91, 2020051500, 03, NG06, 084, 154N,  883E,  75,  955, XX,  50, NEQ, 0225, 0176, 0132, 0135,    0,    0, 046
IO, 91, 2020051500, 03, NG06, 084, 154N,  883E,  75,  955, XX,  64, NEQ, 0000, 0062, 0048, 0082,    0,    0, 046
IO, 91, 2020051500, 03, NG06, 090, 159N,  879E,  76,  951, XX,  34, NEQ, 0235, 0025, 0229, 0025,    0,    0, 036
IO, 91, 2020051500, 03, NG06, 090, 159N,  879E,  76,  951, XX,  50, NEQ, 0249, 0025, 0127, 0025,    0,    0, 036
IO, 91, 2020051500, 03, NG06, 090, 159N,  879E,  76,  951, XX,  64, NEQ, 0053, 0117, 0095, 0045,    0,    0, 036
IO, 91, 2020051500, 03, NG06, 096, 164N,  880E,  77,  946, XX,  34, NEQ, 0210, 0210, 0228, 0011,    0,    0, 062
