SH, 06, 2016010100, 99, CHP4,  66, 196S, 1793W,  44,  992,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  72, 199S, 1797W,  40,  994,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  78, 200S, 1798W,  38,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  84, 202S, 1799W,  37,  996,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  90, 204S, 1799E,  35,  997,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4,  96, 206S, 1797E,  33,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4, 102, 206S, 1796E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4, 108, 207S, 1795E,  32,  998,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4, 114, 208S, 1794E,  31,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP4, 120, 209S, 1792E,  30,  999,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,   0, 167S, 1704W,  89,  969,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,   6, 170S, 1715W,  83,  972,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  12, 174S, 1726W,  82,  974,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  18, 176S, 1738W,  80,  975,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  24, 179S, 1750W,  78,  976,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  30, 181S, 1760W,  77,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  36, 184S, 1771W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  42, 186S, 1777W,  76,  977,   ,   0,    ,    0,    0,    0,    0,
SH, 06, 2016010100, 99, CHP5,  48, 189S, 1784W,  74,  977,   ,   0,    ,    0,    0,    0,    0,
