SH, 07, 2016011500, 03, CTCX, 060, 186S, 1650W,  75,  964, XX,  50, NEQ, 0217, 0181, 0124, 0133,    0,    0, 058
SH, 07, 2016011500, 03, CTCX, 060, 186S, 1650W,  75,  964, XX,  64, NEQ, 0107, 0105, 0000, 0101,    0,    0, 058
SH, 07, 2016011500, 03, CTCX, 066, 197S, 1648W,  71,  966, XX,  34, NEQ, 0298, 0313, 0251, 0233,    0,    0, 063
SH, 07, 2016011500, 03, CTCX, 066, 197S, 1648W,  71,  966, XX,  50, NEQ, 0181, 0180, 0134, 0102,    0,    0, 063
SH, 07, 2016011500, 03, CTCX, 066, 197S, 1648W,  71,  966, XX,  64, NEQ, 0108, 0107, 0069, 0000,    0,    0, 063
SH, 07, 2016011500, 03, CTCX, 072, 204S, 1648W,  65,  969, XX,  34, NEQ, 0258, 0310, 0259, 0183,    0,    0, 078
SH, 07, 2016011500, 03, CTCX, 072, 204S, 1648W,  65,  969, XX,  50, NEQ, 0163, 0177, 0159, 0109,    0,    0, 078
SH, 07, 2016011500, 03, CTCX, 072, 204S, 1648W,  65,  969, XX,  64, NEQ, 0079, 0078, 0000, 0000,    0,    0, 078
SH, 07, 2016011500, 03, CTCX, 078, 214S, 1644W,  63,  970, XX,  34, NEQ, 0249, 0295, 0274, 0212,    0,    0, 087
SH, 07, 2016011500, 03, CTCX, 078, 214S, 1644W,  63,  970, XX,  50, NEQ, 0165, 0168, 0158, 0120,    0,    0, 087
SH, 07, 2016011500, 03, CTCX, 084, 224S, 1644W,  61,  974, XX,  34, NEQ, 0258, 0261, 0233, 0199,    0,    0, 077
SH, 07, 2016011500, 03, CTCX, 084, 224S, 1644W,  61,  974, XX,  50, NEQ, 0154, 0150, 0128, 0108,    0,    0, 077
SH, 07, 2016011500, 03, CTCX, 090, 230S, 1644W,  56,  977, XX,  34, NEQ, 0209, 0264, 0237, 0185,    0,    0, 105
